Year,Month,Make,Model,City,State,Hour,Rear Damage,Front Damage,Right Side Damage,Left Side Damage,Inside Damage,Lighting,Weather,Roadway Surface,Movement Preceding Collision
2020,1,Chevrolet,Bolt,San Francisco,CA,8.0,0,0,0,0,0,Daylight,Clear,Dry,Backing
2020,1,Chevrolet,Bolt,San Francisco,CA,10.0,0,0,0,0,0,Daylight,Clear,Dry,Proceeding Straight
2020,1,Chevrolet,Bolt,San Francisco,CA,17.0,0,0,0,0,0,Daylight,Clear,Dry,Making Left Turn
2020,6,Chevrolet,Bolt,San Francisco,CA,10.0,1,0,0,0,0,Daylight,Clear,Dry,Stopped
2019,11,Chevrolet,Bolt,San Francisco,CA,0.0,0,0,0,0,0,Dark w Street-lights,Clear,Dry,Parking
2019,11,Chevrolet,Bolt,San Francisco,CA,9.0,0,1,0,1,0,Daylight,Clear,Dry,Slowing/Stopping
2019,11,Chevrolet,Bolt,San Francisco,CA,19.0,1,0,0,0,0,Dark w Street-lights,Clear,Dry,Making Right Turn
2019,11,Chevrolet,Bolt,San Francisco,CA,10.0,1,0,0,0,0,Daylight,Clear,Dry,Proceeding Straight
2019,11,Chevrolet,Bolt,San Francisco,CA,9.0,1,0,0,0,0,Daylight,Clear,Dry,Slowing/Stopping
2019,10,Cheverolet,Bolt,San Francisco,CA,1.0,0,0,0,0,0,,,,
2019,10,Chevrolet,Bolt,San Francisco,CA,11.0,1,0,0,0,0,Daylight,Clear,Dry,Proceeding Straight
2019,10,Chevrolet,Bolt,San Francisco,CA,13.0,1,0,0,0,0,Daylight,Clear,Dry,Parking Manuever
2019,10,Chevrolet,Bolt,San Francisco,CA,14.0,0,0,0,0,0,Daylight,Clear,Dry,Proceeding Straight
2019,10,Chevrolet,Bolt,,CA,19.0,0,0,1,0,0,No unusual conditions,Dark,Proceeding Straight,
2015,10,Audi,SQ5,Palo Alto,CA,19.0,0,0,0,0,0,,,,
2018,1,Nissan,NV200 Taxi,San Jose,CA,,0,0,0,0,0,Not Available,Not Available,Not Available,Not Available
2023,8,Toyota,Camry,Mountain View,CA,14.0,1,0,0,0,0,Daylight,Clear,Dry,Stopped
2019,4,Chevrolet,Bolt,San Francisco,CA,20.0,0,1,0,1,0,Dark w Street-lights,Clear,Dry,Stopped
2019,8,Chevrolet,Bolt,San Francisco,CA,23.0,1,0,0,1,1,Dark w Street-lights,Clear,Dry,Slowing/Stopping
2019,8,Chevrolet,Bolt,San Francisco,CA,13.0,1,0,1,0,0,Daylight,Clear,Dry,Proceeding Straight
2019,8,Chevrolet,Bolt,San Francisco,CA,21.0,0,0,0,0,0,Dark w Street-lights,Clear,Dry,Slowing/Stopping
2019,8,Chevrolet,Bolt,San Francisco,CA,14.0,1,0,0,0,0,Daylight,Clear,Dry,Proceeding Straight
2019,8,Chevrolet,Bolt,San Francisco,CA,10.0,1,0,0,1,1,Daylight,Clear,Dry,Stopped
2019,2,Chevrolet,Bolt,San Francisco,CA,5.0,1,0,0,0,0,Dark w Street-lights,Raining,Wet,Proceeding Straight
2019,2,Chevrolet,Bolt,San Francisco,CA,6.0,1,0,0,0,0,Dark w Street-lights,Clear,Dry,Slowing/Stopping
